old,new,oldupper
qid967_1,danc94,QID967_1
qid968_1,heal94,QID968_1
qid969_1,baby94,QID969_1
qid970_1,love94,QID970_1
qid1593_1,achi94,QID1593_1
qid1594_1,visi94,QID1594_1
qid1595,like94,QID1595
qid974,play95,QID974
qid975,uhoh95,QID975
qid976_1,danc95,QID976_1
qid977_1,heal95,QID977_1
qid978_1,baby95,QID978_1
qid979_1,love95,QID979_1
qid1596_1,achi95,QID1596_1
qid1597_1,visi95,QID1597_1
qid1598,like95,QID1598
qid983,play96,QID983
qid984,uhoh96,QID984
qid985_1,danc96,QID985_1
qid986_1,heal96,QID986_1
qid987_1,baby96,QID987_1
qid988_1,love96,QID988_1
qid1599_1,achi96,QID1599_1
qid1600_1,visi96,QID1600_1
qid1601,like96,QID1601
qid992,play97,QID992
qid993,uhoh97,QID993
qid994_1,danc97,QID994_1
qid995_1,heal97,QID995_1
qid996_1,baby97,QID996_1
qid997_1,love97,QID997_1
qid1602_1,achi97,QID1602_1
qid1603_1,visi97,QID1603_1
qid1604,like97,QID1604
qid1001,play98,QID1001
qid1002,uhoh98,QID1002
qid1003_1,danc98,QID1003_1
qid1004_1,heal98,QID1004_1
qid1005_1,baby98,QID1005_1
qid1006_1,love98,QID1006_1
qid1605_1,achi98,QID1605_1
qid1606_1,visi98,QID1606_1
qid1607,like98,QID1607
qid1010,play99,QID1010
qid1011,uhoh99,QID1011
qid1012_1,danc99,QID1012_1
qid1013_1,heal99,QID1013_1
qid1014_1,baby99,QID1014_1
qid1015_1,love99,QID1015_1
qid1608_1,achi99,QID1608_1
qid1609_1,visi99,QID1609_1
qid1610,like99,QID1610
qid1019,play100,QID1019
qid1020,uhoh100,QID1020
qid1021_1,danc100,QID1021_1
qid1022_1,heal100,QID1022_1
qid1023_1,baby100,QID1023_1
qid1024_1,love100,QID1024_1
qid1611_1,achi100,QID1611_1
qid1612_1,visi100,QID1612_1
qid1613,like100,QID1613
qid1028,play101,QID1028
qid1029,uhoh101,QID1029
qid1030_1,danc101,QID1030_1
qid1031_1,heal101,QID1031_1
qid1032_1,baby101,QID1032_1
qid1033_1,love101,QID1033_1
qid1614_1,achi101,QID1614_1
qid1615_1,visi101,QID1615_1
qid1616,like101,QID1616
qid1037,play102,QID1037
qid1038,uhoh102,QID1038
qid1039_1,danc102,QID1039_1
qid1040_1,heal102,QID1040_1
qid1041_1,baby102,QID1041_1
qid1042_1,love102,QID1042_1
qid1617_1,achi102,QID1617_1
qid1618_1,visi102,QID1618_1
qid1619,like102,QID1619
qid1046,play103,QID1046
qid1047,uhoh103,QID1047
qid1048_1,danc103,QID1048_1
qid1049_1,heal103,QID1049_1
qid1050_1,baby103,QID1050_1
qid1051_1,love103,QID1051_1
qid1620_1,achi103,QID1620_1
qid1621_1,visi103,QID1621_1
qid1622,like103,QID1622
qid1055,play104,QID1055
qid1056,uhoh104,QID1056
qid1057_1,danc104,QID1057_1
qid1058_1,heal104,QID1058_1
qid1059_1,baby104,QID1059_1
qid1060_1,love104,QID1060_1
qid1623_1,achi104,QID1623_1
qid1624_1,visi104,QID1624_1
qid1625,like104,QID1625
qid1064,play105,QID1064
qid1065,uhoh105,QID1065
qid1066_1,danc105,QID1066_1
qid1067_1,heal105,QID1067_1
qid1068_1,baby105,QID1068_1
qid1069_1,love105,QID1069_1
qid1626_1,achi105,QID1626_1
qid1627_1,visi105,QID1627_1
qid1628,like105,QID1628
qid1073,play106,QID1073
qid1074,uhoh106,QID1074
qid1075_1,danc106,QID1075_1
qid1076_1,heal106,QID1076_1
qid1077_1,baby106,QID1077_1
qid1078_1,love106,QID1078_1
qid1629_1,achi106,QID1629_1
qid1630_1,visi106,QID1630_1
qid1631,like106,QID1631
qid1082,play107,QID1082
qid1083,uhoh107,QID1083
qid1084_1,danc107,QID1084_1
qid1085_1,heal107,QID1085_1
qid1086_1,baby107,QID1086_1
qid1087_1,love107,QID1087_1
qid1632_1,achi107,QID1632_1
qid1633_1,visi107,QID1633_1
qid1634,like107,QID1634
qid1091,play108,QID1091
qid1092,uhoh108,QID1092
qid1093_1,danc108,QID1093_1
qid1094_1,heal108,QID1094_1
qid1095_1,baby108,QID1095_1
qid1096_1,love108,QID1096_1
qid1635_1,achi108,QID1635_1
qid1636_1,visi108,QID1636_1
qid1637,like108,QID1637
qid1100,play109,QID1100
qid1101,uhoh109,QID1101
qid1102_1,danc109,QID1102_1
qid1103_1,heal109,QID1103_1
qid1104_1,baby109,QID1104_1
qid1105_1,love109,QID1105_1
qid1638_1,achi109,QID1638_1
qid1639_1,visi109,QID1639_1
qid1640,like109,QID1640
qid1109,play110,QID1109
qid1110,uhoh110,QID1110
qid1111_1,danc110,QID1111_1
qid1112_1,heal110,QID1112_1
qid1113_1,baby110,QID1113_1
qid1114_1,love110,QID1114_1
qid1641_1,achi110,QID1641_1
qid1642_1,visi110,QID1642_1
qid1643,like110,QID1643
qid1118,play111,QID1118
qid1119,uhoh111,QID1119
qid1120_1,danc111,QID1120_1
qid1121_1,heal111,QID1121_1
qid1122_1,baby111,QID1122_1
qid1123_1,love111,QID1123_1
qid1644_1,achi111,QID1644_1
qid1645_1,visi111,QID1645_1
qid1646,like111,QID1646
qid1127,play112,QID1127
qid1128,uhoh112,QID1128
qid1129_1,danc112,QID1129_1
qid1130_1,heal112,QID1130_1
qid1131_1,baby112,QID1131_1
qid1132_1,love112,QID1132_1
qid1647_1,achi112,QID1647_1
qid1648_1,visi112,QID1648_1
qid1649,like112,QID1649
qid1136,play113,QID1136
qid1137,uhoh113,QID1137
qid1138_1,danc113,QID1138_1
qid1139_1,heal113,QID1139_1
qid1140_1,baby113,QID1140_1
qid1141_1,love113,QID1141_1
qid1650_1,achi113,QID1650_1
qid1651_1,visi113,QID1651_1
qid1652,like113,QID1652
qid1145,play114,QID1145
qid1146,uhoh114,QID1146
qid1147_1,danc114,QID1147_1
qid1148_1,heal114,QID1148_1
qid1149_1,baby114,QID1149_1
qid1150_1,love114,QID1150_1
qid1653_1,achi114,QID1653_1
qid1654_1,visi114,QID1654_1
qid1655,like114,QID1655
qid1154,play115,QID1154
qid1155,uhoh115,QID1155
qid1156_1,danc115,QID1156_1
qid1157_1,heal115,QID1157_1
qid1158_1,baby115,QID1158_1
qid1159_1,love115,QID1159_1
qid1656_1,achi115,QID1656_1
qid1657_1,visi115,QID1657_1
qid1658,like115,QID1658
qid1163,play116,QID1163
qid1164,uhoh116,QID1164
qid1165_1,danc116,QID1165_1
qid1166_1,heal116,QID1166_1
qid1167_1,baby116,QID1167_1
qid1168_1,love116,QID1168_1
qid1659_1,achi116,QID1659_1
qid1660_1,visi116,QID1660_1
qid1661,like116,QID1661
qid1172,play117,QID1172
qid1173,uhoh117,QID1173
qid1174_1,danc117,QID1174_1
qid1175_1,heal117,QID1175_1
qid1176_1,baby117,QID1176_1
qid1177_1,love117,QID1177_1
qid1662_1,achi117,QID1662_1
qid1663_1,visi117,QID1663_1
qid1664,like117,QID1664
qid1181,play118,QID1181
qid1182,uhoh118,QID1182
qid1183_1,danc118,QID1183_1
qid1184_1,heal118,QID1184_1
qid1185_1,baby118,QID1185_1
qid1186_1,love118,QID1186_1
qid1665_1,achi118,QID1665_1
qid1666_1,visi118,QID1666_1
qid1667,like118,QID1667
