id,family_id,parent_id,name,bookkeeping,level,status,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
djen1243,song1307,humb1243,Djenne Chiini,FALSE,dialect,safe,,,,,,0,0,0,
djeo1235,nucl1710,jabu1249,Djeoromitxí,FALSE,language,severely endangered,-12.038,-64.6694,jbt,,,0,0,0,BR
djia1238,atla1278,saka1287,Djia,FALSE,dialect,safe,,,,,,0,0,0,
djid1238,atla1278,tagw1240,Djidanan,FALSE,dialect,safe,,,,,,0,0,0,
djim1235,atla1278,sout3153,Djimini Senoufo,FALSE,language,safe,8.36279,-4.45627,dyi,,,0,0,5,CI
djim1239,afro1255,jimi1254,Djimi,FALSE,dialect,safe,,,,,,0,0,0,
djin1251,mirn1241,mirn1241,Jingulu,FALSE,language,severely endangered,-17.165,133.659,jig,,,0,0,0,AU
djin1252,pama1250,west2440,Djinba,FALSE,language,severely endangered,-12.93,134.967,djb,,,0,0,3,AU
djin1253,pama1250,west2440,Djinang,FALSE,language,definitely endangered,-12.462,134.82,dji,,,0,0,6,AU
djiw1240,pama1250,mant1266,Djiwarli-Thiin,FALSE,family,safe,-24.10724,116.98858,djl,,,0,2,0,AU
djiw1241,pama1250,djiw1240,Djiwarli,FALSE,language,extinct,-24.10724,116.98858,dze,,,0,0,0,AU
djou1238,atla1278,borg1235,Djougoure,FALSE,dialect,safe,,,,,,0,0,0,
djua1238,atla1278,anyi1245,Djuablin,FALSE,dialect,safe,,,,,,0,0,0,
djuw1238,pama1250,walm1241,Djuwarliny,FALSE,dialect,safe,,,,,,0,0,0,
dlig1238,afro1255,cent2190,Dlige,FALSE,dialect,safe,,,,,,0,0,0,
dlog1238,atla1278,godi1239,Dlogo,FALSE,dialect,safe,,,,,,0,0,0,
doab1238,indo1319,panj1256,Doab,FALSE,dialect,safe,,,,,,0,0,0,
dobe1238,aust1307,dobe1243,Dobel,FALSE,language,safe,-6.32531,134.638,kvo,,,0,0,3,ID
dobe1242,afro1255,west2766,Dobe,FALSE,dialect,safe,,,,,,0,0,0,
dobe1243,aust1307,cent2309,Dobel-Koba,FALSE,family,safe,,,,,,0,2,4,
