geo_latitude,geo_longitude
35.531399,134.21181
-32.276798,115.7298
-31.934401,115.7617
-34.950001,138.60001
-27.469801,153.02499
-27.469801,153.02499
-27.469801,153.02499
-33.8675,151.207
-33.8675,151.207
-33.8923,151.12309
-37.807098,144.9516
-37.807098,144.9516
28.6353,77.224998
37.561001,126.995
37.561001,126.995
37.495399,127.0621
37.546902,127.0841
18.972099,72.8246
37.598499,126.9783
37.561001,126.995
37.561001,126.995
22.290899,114.15
10.8231,106.63
10.8231,106.63
10.8231,106.63
10.8231,106.63
22.290899,114.15
35.690601,139.77
35.688202,139.7532
34.265499,108.954
-36.850899,174.77699
-45.874199,170.5036
-34.9286,138.60001
1.35455,103.859
35.699299,139.746
-28.0173,153.42599
-33.8675,151.207
-33.834301,151.1459
-27.4897,153.0605
-42.877201,147.33099
-37.817001,145.00101
-33.8946,151.15491
-33.826599,151.0881
29.6469,91.117203
24.904301,67.081703
22.290899,114.15
22.290899,114.15
22.290899,114.15
22.290899,114.15
-37.684601,176.162
-45.878799,170.50301
-36.850601,174.7679
10.8231,106.63
-15.4082,28.287201
-15.4082,28.287201
-1.28642,36.819801
-1.28642,36.819801
-1.28642,36.819801
-1.28642,36.819801
-1.2841001,36.815498
-1.28642,36.819801
5.6234298,-.157691
5.6234298,-.157691
5.6234298,-.157691
5.6234298,-.157691
-26.046101,28.0599
-26.046101,28.0599
30.044399,31.235701
30.044399,31.235701
31.3078,30.299
-26.2309,28.0583
-26.25,28.4
-25.757,28.1443
-26.230801,28.0585
-25.757,28.1443
-25.757,28.1443
-25.757,28.1443
-26.230801,28.0585
-26.1833,28.3167
-26.2309,28.0583
-6.1740999,106.8296
-6.9217,107.6071
9.3261604,123.298
22.9457,91.121803
24.855301,67.0261
24.855301,67.0261
24.904301,67.081703
14.3122,121.1114
10.8142,106.6438
-6.1740999,106.8296
23.723101,90.4086
33.733398,73.078499
22.572001,88.366997
23.743299,90.384102
24.8615,67.009903
24.8615,67.009903
-41.285999,174.7719
23.7855,90.4179
23.7855,90.4179
-45.878799,170.50301
22.572001,88.366997
1.28035,103.814
1.28035,103.814
14.5711,121.047
30.1984,71.468697
30.1984,71.468697
30.1984,71.468697
31.5546,74.357201
31.5546,74.357201
31.5546,74.357201
31.5546,74.357201
33.6007,73.067902
33.6007,73.067902
33.6007,73.067902
-36.857498,174.765
-6.3088698,106.682
-6.3088698,106.682
24.756399,90.406502
-36.747398,174.702
23.810301,90.412498
-34.927399,138.60049
37.894501,127.747
24.904301,67.081703
28.5735,77.320801
-6.9217,107.6071
-6.1740999,106.8296
24.8545,67.028397
23.7526,90.373001
14.6019,120.9896
43.653198,-79.383202
49.865398,-97.0644
43.564701,-79.585197
-37.816898,144.963
-26.1154,28.047501
-26.1154,28.047501
34.014999,-6.8327198
34.014999,-6.8327198
-26.1154,28.047501
34.014999,-6.8327198
34.014999,-6.8327198
34.014999,-6.8327198
34.014999,-6.8327198
34.038898,-6.8165998
34.014999,-6.8327198
34.037201,-4.9998002
31.512501,-9.7700005
34.014999,-6.8327198
35.780602,-5.8136001
31.629801,-8.0101004
33.894699,-6.3065
34.012299,-6.8484001
34.014999,-6.8327198
31.629801,-8.0101004
33.592201,-7.6184001
33.592201,-7.6184001
34.018101,-5.0078402
34.037201,-4.9998002
34.261002,-6.5802002
34.018101,-5.0078402
34.037201,-4.9998002
30.4207,-9.5931997
33.592201,-7.6184001
33.592201,-7.6184001
33.592201,-7.6184001
33.592201,-7.6184001
33.592201,-7.6184001
33.592201,-7.6184001
31.629801,-8.0101004
31.629801,-8.0101004
35.193199,-6.1557002
35.780602,-5.8136001
33.592201,-7.6184001
33.592201,-7.6184001
33.592201,-7.6184001
34.038898,-6.8165998
34.038898,-6.8165998
-1.2590899,36.785801
-1.2590899,36.785801
-1.2590899,36.785801
-29.85,31.016701
-29.8556,31.044901
-33.9161,18.4139
33.573101,-7.5898399
33.573101,-7.5898399
33.573101,-7.5898399
33.573101,-7.5898399
33.573101,-7.5898399
33.573101,-7.5898399
-29.85,31.016701
-30.15,30.0833
-29.8556,31.044901
-33.966702,25.5833
-26.2309,28.0583
-33.9258,18.4259
-26.6667,27.9333
-29.616699,30.383301
